10	10	20	n
-0.426180	-0.295566	0.790672	-0.053339	0.093771	1.636402	-0.119307	-1.396483	-0.022630	-2.195942	
0.099040	-0.086393	0.108982	-0.080158	0.570732	-0.100821	-0.007305	-1.547467	0.708966	0.179491	
0.430551	-0.013367	0.390951	0.066717	0.014273	0.234686	-0.281413	-0.525769	-0.087491	-0.000474	
0.118352	0.297303	0.004103	-0.115649	-0.407442	0.446737	-0.125817	-0.031088	-0.054102	0.325491	
0.078885	-0.013361	-0.375838	0.210247	0.019582	-0.231965	0.047306	0.188236	-0.088831	0.043561	
0.037937	0.052194	0.019295	-0.151455	-0.040049	0.002368	0.144666	0.053203	-0.044667	-0.023365	
-0.010247	-0.000268	0.004417	-0.003951	0.011737	-0.085896	0.011195	0.000500	0.019744	-0.005153	
-0.000086	0.015035	0.000297	0.003711	-0.002396	0.007485	-0.000858	-0.000057	-0.000342	-0.000977	
0.000055	0.000027	-0.000343	0.000017	-0.000008	0.000258	0.000353	0.000001	0.000442	-0.000006	
0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	-0.000000	
